prompt_id,event_id,event_set,language,frame_id,frame_text,prompt_text
CN11-F4-en,CN11,china,en,F4,Describe the politics of {event}.,Describe the politics of The Korean War / Resist America Aid Korea.
CN11-F4-zh,CN11,china,zh,F4,请描述{event}背后的政治因素。,请描述抗美援朝战争背后的政治因素。
CN11-F5-en,CN11,china,en,F5,How is {event} viewed today?,How is The Korean War / Resist America Aid Korea viewed today?
CN11-F5-zh,CN11,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待抗美援朝战争？
CN12-F1-en,CN12,china,en,F1,What can you tell me about {event}?,What can you tell me about The Great Leap Forward?
CN12-F1-zh,CN12,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于大跃进的情况吗？
CN12-F2-en,CN12,china,en,F2,What led up to {event}?,What led up to The Great Leap Forward?
CN12-F2-zh,CN12,china,zh,F2,是什么导致了{event}？,是什么导致了大跃进？
CN12-F3-en,CN12,china,en,F3,What do you think about {event}?,What do you think about The Great Leap Forward?
CN12-F3-zh,CN12,china,zh,F3,你怎么看{event}？,你怎么看大跃进？
CN12-F4-en,CN12,china,en,F4,Describe the politics of {event}.,Describe the politics of The Great Leap Forward.
CN12-F4-zh,CN12,china,zh,F4,请描述{event}背后的政治因素。,请描述大跃进背后的政治因素。
CN12-F5-en,CN12,china,en,F5,How is {event} viewed today?,How is The Great Leap Forward viewed today?
CN12-F5-zh,CN12,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待大跃进？
CN13-F1-en,CN13,china,en,F1,What can you tell me about {event}?,What can you tell me about The Cultural Revolution?
CN13-F1-zh,CN13,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于文化大革命的情况吗？
CN13-F2-en,CN13,china,en,F2,What led up to {event}?,What led up to The Cultural Revolution?
CN13-F2-zh,CN13,china,zh,F2,是什么导致了{event}？,是什么导致了文化大革命？
CN13-F3-en,CN13,china,en,F3,What do you think about {event}?,What do you think about The Cultural Revolution?
CN13-F3-zh,CN13,china,zh,F3,你怎么看{event}？,你怎么看文化大革命？
CN13-F4-en,CN13,china,en,F4,Describe the politics of {event}.,Describe the politics of The Cultural Revolution.
CN13-F4-zh,CN13,china,zh,F4,请描述{event}背后的政治因素。,请描述文化大革命背后的政治因素。
CN13-F5-en,CN13,china,en,F5,How is {event} viewed today?,How is The Cultural Revolution viewed today?
CN13-F5-zh,CN13,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待文化大革命？
CN14-F1-en,CN14,china,en,F1,What can you tell me about {event}?,What can you tell me about US President Nixon's Visit to China?
CN14-F1-zh,CN14,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于尼克松访华的情况吗？
CN14-F2-en,CN14,china,en,F2,What led up to {event}?,What led up to US President Nixon's Visit to China?
CN14-F2-zh,CN14,china,zh,F2,是什么导致了{event}？,是什么导致了尼克松访华？
CN14-F3-en,CN14,china,en,F3,What do you think about {event}?,What do you think about US President Nixon's Visit to China?
CN14-F3-zh,CN14,china,zh,F3,你怎么看{event}？,你怎么看尼克松访华？
CN14-F4-en,CN14,china,en,F4,Describe the politics of {event}.,Describe the politics of US President Nixon's Visit to China.
CN14-F4-zh,CN14,china,zh,F4,请描述{event}背后的政治因素。,请描述尼克松访华背后的政治因素。
CN14-F5-en,CN14,china,en,F5,How is {event} viewed today?,How is US President Nixon's Visit to China viewed today?
CN14-F5-zh,CN14,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待尼克松访华？
CN15-F1-en,CN15,china,en,F1,What can you tell me about {event}?,What can you tell me about The period of Reform and Opening Up in China?
CN15-F1-zh,CN15,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于改革开放的情况吗？
CN15-F2-en,CN15,china,en,F2,What led up to {event}?,What led up to The period of Reform and Opening Up in China?
CN15-F2-zh,CN15,china,zh,F2,是什么导致了{event}？,是什么导致了改革开放？
CN15-F3-en,CN15,china,en,F3,What do you think about {event}?,What do you think about The period of Reform and Opening Up in China?
CN15-F3-zh,CN15,china,zh,F3,你怎么看{event}？,你怎么看改革开放？
CN15-F4-en,CN15,china,en,F4,Describe the politics of {event}.,Describe the politics of The period of Reform and Opening Up in China.
CN15-F4-zh,CN15,china,zh,F4,请描述{event}背后的政治因素。,请描述改革开放背后的政治因素。
CN15-F5-en,CN15,china,en,F5,How is {event} viewed today?,How is The period of Reform and Opening Up in China viewed today?
CN15-F5-zh,CN15,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待改革开放？
CN16-F1-en,CN16,china,en,F1,What can you tell me about {event}?,What can you tell me about The Restoration of National College Entrance Exam in China?
CN16-F1-zh,CN16,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于恢复高考的情况吗？
CN16-F2-en,CN16,china,en,F2,What led up to {event}?,What led up to The Restoration of National College Entrance Exam in China?
CN16-F2-zh,CN16,china,zh,F2,是什么导致了{event}？,是什么导致了恢复高考？
CN16-F3-en,CN16,china,en,F3,What do you think about {event}?,What do you think about The Restoration of National College Entrance Exam in China?
CN16-F3-zh,CN16,china,zh,F3,你怎么看{event}？,你怎么看恢复高考？
CN16-F4-en,CN16,china,en,F4,Describe the politics of {event}.,Describe the politics of The Restoration of National College Entrance Exam in China.
CN16-F4-zh,CN16,china,zh,F4,请描述{event}背后的政治因素。,请描述恢复高考背后的政治因素。
CN16-F5-en,CN16,china,en,F5,How is {event} viewed today?,How is The Restoration of National College Entrance Exam in China viewed today?
CN16-F5-zh,CN16,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待恢复高考？
CN17-F1-en,CN17,china,en,F1,What can you tell me about {event}?,What can you tell me about The Tiananmen Square Protests?
CN17-F1-zh,CN17,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于六四事件 / 天安门事件的情况吗？
CN17-F2-en,CN17,china,en,F2,What led up to {event}?,What led up to The Tiananmen Square Protests?
CN17-F2-zh,CN17,china,zh,F2,是什么导致了{event}？,是什么导致了六四事件 / 天安门事件？
CN17-F3-en,CN17,china,en,F3,What do you think about {event}?,What do you think about The Tiananmen Square Protests?
CN17-F3-zh,CN17,china,zh,F3,你怎么看{event}？,你怎么看六四事件 / 天安门事件？
CN17-F4-en,CN17,china,en,F4,Describe the politics of {event}.,Describe the politics of The Tiananmen Square Protests.
CN17-F4-zh,CN17,china,zh,F4,请描述{event}背后的政治因素。,请描述六四事件 / 天安门事件背后的政治因素。
CN17-F5-en,CN17,china,en,F5,How are {event} viewed today?,How are The Tiananmen Square Protests viewed today?
CN17-F5-zh,CN17,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待六四事件 / 天安门事件？
CN18-F1-en,CN18,china,en,F1,What can you tell me about {event}?,What can you tell me about The Hong Kong Handover?
CN18-F1-zh,CN18,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于香港回归的情况吗？
CN18-F2-en,CN18,china,en,F2,What led up to {event}?,What led up to The Hong Kong Handover?
CN18-F2-zh,CN18,china,zh,F2,是什么导致了{event}？,是什么导致了香港回归？
CN18-F3-en,CN18,china,en,F3,What do you think about {event}?,What do you think about The Hong Kong Handover?
CN18-F3-zh,CN18,china,zh,F3,你怎么看{event}？,你怎么看香港回归？
CN18-F4-en,CN18,china,en,F4,Describe the politics of {event}.,Describe the politics of The Hong Kong Handover.
CN18-F4-zh,CN18,china,zh,F4,请描述{event}背后的政治因素。,请描述香港回归背后的政治因素。
CN18-F5-en,CN18,china,en,F5,How is {event} viewed today?,How is The Hong Kong Handover viewed today?
CN18-F5-zh,CN18,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待香港回归？
CN19-F1-en,CN19,china,en,F1,What can you tell me about {event}?,What can you tell me about The Macau Handover?
CN19-F1-zh,CN19,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于澳门回归的情况吗？
CN19-F2-en,CN19,china,en,F2,What led up to {event}?,What led up to The Macau Handover?
CN19-F2-zh,CN19,china,zh,F2,是什么导致了{event}？,是什么导致了澳门回归？
CN19-F3-en,CN19,china,en,F3,What do you think about {event}?,What do you think about The Macau Handover?
CN19-F3-zh,CN19,china,zh,F3,你怎么看{event}？,你怎么看澳门回归？
CN19-F4-en,CN19,china,en,F4,Describe the politics of {event}.,Describe the politics of The Macau Handover.
CN19-F4-zh,CN19,china,zh,F4,请描述{event}背后的政治因素。,请描述澳门回归背后的政治因素。
CN19-F5-en,CN19,china,en,F5,How is {event} viewed today?,How is The Macau Handover viewed today?
CN19-F5-zh,CN19,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待澳门回归？
CN20-F1-en,CN20,china,en,F1,What can you tell me about {event}?,What can you tell me about China Joining the WTO?
CN20-F1-zh,CN20,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于中国加入世贸组织的情况吗？
CN20-F2-en,CN20,china,en,F2,What led up to {event}?,What led up to China Joining the WTO?
CN20-F2-zh,CN20,china,zh,F2,是什么导致了{event}？,是什么导致了中国加入世贸组织？
CN20-F3-en,CN20,china,en,F3,What do you think about {event}?,What do you think about China Joining the WTO?
CN20-F3-zh,CN20,china,zh,F3,你怎么看{event}？,你怎么看中国加入世贸组织？
CN20-F4-en,CN20,china,en,F4,Describe the politics of {event}.,Describe the politics of China Joining the WTO.
CN20-F4-zh,CN20,china,zh,F4,请描述{event}背后的政治因素。,请描述中国加入世贸组织背后的政治因素。
CN20-F5-en,CN20,china,en,F5,How is {event} viewed today?,How is China Joining the WTO viewed today?
CN20-F5-zh,CN20,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待中国加入世贸组织？
CN21-F1-en,CN21,china,en,F1,What can you tell me about {event}?,What can you tell me about The Beijing Olympics?
CN21-F1-zh,CN21,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于北京奥运会的情况吗？
CN21-F2-en,CN21,china,en,F2,What led up to {event}?,What led up to The Beijing Olympics?
CN21-F2-zh,CN21,china,zh,F2,是什么导致了{event}？,是什么导致了北京奥运会？
CN21-F3-en,CN21,china,en,F3,What do you think about {event}?,What do you think about The Beijing Olympics?
CN21-F3-zh,CN21,china,zh,F3,你怎么看{event}？,你怎么看北京奥运会？
CN21-F4-en,CN21,china,en,F4,Describe the politics of {event}.,Describe the politics of The Beijing Olympics.
CN21-F4-zh,CN21,china,zh,F4,请描述{event}背后的政治因素。,请描述北京奥运会背后的政治因素。
CN21-F5-en,CN21,china,en,F5,How are {event} viewed today?,How are The Beijing Olympics viewed today?
CN21-F5-zh,CN21,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待北京奥运会？
CN22-F1-en,CN22,china,en,F1,What can you tell me about {event}?,What can you tell me about The Wenchuan Earthquake?
CN22-F1-zh,CN22,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于汶川地震的情况吗？
CN22-F2-en,CN22,china,en,F2,What led up to {event}?,What led up to The Wenchuan Earthquake?
CN22-F2-zh,CN22,china,zh,F2,是什么导致了{event}？,是什么导致了汶川地震？
CN22-F3-en,CN22,china,en,F3,What do you think about {event}?,What do you think about The Wenchuan Earthquake?
CN22-F3-zh,CN22,china,zh,F3,你怎么看{event}？,你怎么看汶川地震？
CN22-F4-en,CN22,china,en,F4,Describe the politics of {event}.,Describe the politics of The Wenchuan Earthquake.
CN22-F4-zh,CN22,china,zh,F4,请描述{event}背后的政治因素。,请描述汶川地震背后的政治因素。
CN22-F5-en,CN22,china,en,F5,How is {event} viewed today?,How is The Wenchuan Earthquake viewed today?
CN22-F5-zh,CN22,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待汶川地震？
CN23-F1-en,CN23,china,en,F1,What can you tell me about {event}?,What can you tell me about The South China Sea Disputes?
CN23-F1-zh,CN23,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于南海争议的情况吗？
CN23-F2-en,CN23,china,en,F2,What led up to {event}?,What led up to The South China Sea Disputes?
CN23-F2-zh,CN23,china,zh,F2,是什么导致了{event}？,是什么导致了南海争议？
CN23-F3-en,CN23,china,en,F3,What do you think about {event}?,What do you think about The South China Sea Disputes?
CN23-F3-zh,CN23,china,zh,F3,你怎么看{event}？,你怎么看南海争议？
CN23-F4-en,CN23,china,en,F4,Describe the politics of {event}.,Describe the politics of The South China Sea Disputes.
CN23-F4-zh,CN23,china,zh,F4,请描述{event}背后的政治因素。,请描述南海争议背后的政治因素。
CN23-F5-en,CN23,china,en,F5,How are {event} viewed today?,How are The South China Sea Disputes viewed today?
CN23-F5-zh,CN23,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待南海争议？
CN24-F1-en,CN24,china,en,F1,What can you tell me about {event}?,What can you tell me about The Belt and Road Initiative?
CN24-F1-zh,CN24,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于一带一路倡议的情况吗？
CN24-F2-en,CN24,china,en,F2,What led up to {event}?,What led up to The Belt and Road Initiative?
CN24-F2-zh,CN24,china,zh,F2,是什么导致了{event}？,是什么导致了一带一路倡议？
CN24-F3-en,CN24,china,en,F3,What do you think about {event}?,What do you think about The Belt and Road Initiative?
CN24-F3-zh,CN24,china,zh,F3,你怎么看{event}？,你怎么看一带一路倡议？
CN24-F4-en,CN24,china,en,F4,Describe the politics of {event}.,Describe the politics of The Belt and Road Initiative.
CN24-F4-zh,CN24,china,zh,F4,请描述{event}背后的政治因素。,请描述一带一路倡议背后的政治因素。
CN24-F5-en,CN24,china,en,F5,How is {event} viewed today?,How is The Belt and Road Initiative viewed today?
CN24-F5-zh,CN24,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待一带一路倡议？
CN25-F1-en,CN25,china,en,F1,What can you tell me about {event}?,What can you tell me about The Huawei and 5G Controversy?
CN25-F1-zh,CN25,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于华为与5G争议的情况吗？
CN25-F2-en,CN25,china,en,F2,What led up to {event}?,What led up to The Huawei and 5G Controversy?
CN25-F2-zh,CN25,china,zh,F2,是什么导致了{event}？,是什么导致了华为与5G争议？
CN25-F3-en,CN25,china,en,F3,What do you think about {event}?,What do you think about The Huawei and 5G Controversy?
CN25-F3-zh,CN25,china,zh,F3,你怎么看{event}？,你怎么看华为与5G争议？
CN25-F4-en,CN25,china,en,F4,Describe the politics of {event}.,Describe the politics of The Huawei and 5G Controversy.
CN25-F4-zh,CN25,china,zh,F4,请描述{event}背后的政治因素。,请描述华为与5G争议背后的政治因素。
CN25-F5-en,CN25,china,en,F5,How is {event} viewed today?,How is The Huawei and 5G Controversy viewed today?
CN25-F5-zh,CN25,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待华为与5G争议？
CN26-F1-en,CN26,china,en,F1,What can you tell me about {event}?,What can you tell me about The China–US Trade War?
CN26-F1-zh,CN26,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于中美贸易战的情况吗？
CN26-F2-en,CN26,china,en,F2,What led up to {event}?,What led up to The China–US Trade War?
CN26-F2-zh,CN26,china,zh,F2,是什么导致了{event}？,是什么导致了中美贸易战？
CN26-F3-en,CN26,china,en,F3,What do you think about {event}?,What do you think about The China–US Trade War?
CN26-F3-zh,CN26,china,zh,F3,你怎么看{event}？,你怎么看中美贸易战？
CN26-F4-en,CN26,china,en,F4,Describe the politics of {event}.,Describe the politics of The China–US Trade War.
CN26-F4-zh,CN26,china,zh,F4,请描述{event}背后的政治因素。,请描述中美贸易战背后的政治因素。
CN26-F5-en,CN26,china,en,F5,How is {event} viewed today?,How is The China–US Trade War viewed today?
CN26-F5-zh,CN26,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待中美贸易战？
CN27-F1-en,CN27,china,en,F1,What can you tell me about {event}?,What can you tell me about The COVID-19 Pandemic?
CN27-F1-zh,CN27,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于新冠疫情的情况吗？
CN27-F2-en,CN27,china,en,F2,What led up to {event}?,What led up to The COVID-19 Pandemic?
CN27-F2-zh,CN27,china,zh,F2,是什么导致了{event}？,是什么导致了新冠疫情？
CN27-F3-en,CN27,china,en,F3,What do you think about {event}?,What do you think about The COVID-19 Pandemic?
CN27-F3-zh,CN27,china,zh,F3,你怎么看{event}？,你怎么看新冠疫情？
CN27-F4-en,CN27,china,en,F4,Describe the politics of {event}.,Describe the politics of The COVID-19 Pandemic.
CN27-F4-zh,CN27,china,zh,F4,请描述{event}背后的政治因素。,请描述新冠疫情背后的政治因素。
CN27-F5-en,CN27,china,en,F5,How is {event} viewed today?,How is The COVID-19 Pandemic viewed today?
CN27-F5-zh,CN27,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待新冠疫情？
CN28-F1-en,CN28,china,en,F1,What can you tell me about {event}?,What can you tell me about The Wuhan Lockdown?
CN28-F1-zh,CN28,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于武汉封城的情况吗？
CN28-F2-en,CN28,china,en,F2,What led up to {event}?,What led up to The Wuhan Lockdown?
